"venue_event_id","game_id","match_datetime","team1_name","team2_name","competition_name","match_best_of","match_patch","picks_and_bans","winner_prematch_books","winner_prematch_odds_dec","match_team1_score","match_team2_score","map_name","team1_attack_score","team1_defend_score","team1_overtime_score","team2_attack_score","team2_defend_score","team2_overtime_score","team1_map_score","team2_map_score"
1018,1841,"2020-08-03 00:20:00.000 +0000",Sentinels,TSM,"30Bomb Summer Cup",3,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},3,1,TBD,0,0,0,0,0,0,0,0
1018,1842,"2020-08-03 00:20:00.000 +0000",Sentinels,TSM,"30Bomb Summer Cup",3,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},3,1,Split,8,5,0,4,4,0,13,8
1018,1843,"2020-08-03 00:20:00.000 +0000",Sentinels,TSM,"30Bomb Summer Cup",3,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},3,1,Haven,3,5,0,7,6,0,8,13
1018,2376,"2020-08-03 00:20:00.000 +0000",Sentinels,TSM,"30Bomb Summer Cup",3,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},3,1,Ascent,8,5,0,6,4,0,13,10
1191,2238,"2020-07-31 21:00:00.000 +0000",G2 Esports,ex-Giants Gaming,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Ascent,9,4,0,5,3,0,13,8
1192,2239,"2020-07-31 21:00:00.000 +0000",nolpenki,DREAMCHASERS,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},0,1,Ascent,2,8,0,4,9,0,10,13
1194,2241,"2020-07-31 21:30:00.000 +0000",BBL Esports,Rix.GG,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Ascent,5,8,0,4,0,0,13,4
1196,2243,"2020-07-31 21:25:00.000 +0000",Lankräm,THOSE GUYS,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},0,1,Ascent,0,1,0,11,2,0,1,13
1197,2244,"2020-07-31 20:00:00.000 +0000",forZe,StartedFromCS,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Haven,9,4,0,4,3,0,13,7
1198,2245,"2020-07-31 21:30:00.000 +0000",Inferno,bonk,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},0,1,Ascent,2,7,0,5,8,0,9,13
1199,2246,"2020-08-01 13:00:00.000 +0000",bonk,"9xxx",Mandatory.gg Cup #2,3,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},2,0,Haven,9,4,0,2,3,0,13,5
1199,2247,"2020-08-01 13:00:00.000 +0000",bonk,"9xxx",Mandatory.gg Cup #2,3,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},2,0,Ascent,0,0,0,0,0,0,13,6
1209,2278,"2020-07-31 18:00:00.000 +0000",PartyParrots,BAG8,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Bind,11,2,0,2,1,0,13,3
1228,2297,"2020-07-31 20:15:00.000 +0000",G2 Esports,G.Gang,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Haven,4,9,0,3,2,0,13,5
1229,2298,"2020-07-31 18:00:00.000 +0000",GoodVibes,clowns,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Bind,5,8,0,4,0,0,13,4
1233,2302,"2020-07-31 19:00:00.000 +0000",BBL Esports,need more DM,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Split,8,5,0,1,4,0,13,5
1236,2305,"2020-07-31 21:30:00.000 +0000",DPE,"9xxx",Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},0,1,Ascent,8,2,0,9,4,0,10,13
1237,2306,"2020-07-31 19:00:00.000 +0000",Rix.GG,Absolute Legends Blue,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Split,4,9,0,3,4,0,13,7
1238,2307,"2020-07-31 19:00:00.000 +0000",Ninjas in Pyjamas,AERA,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Split,5,8,0,4,1,0,13,5
1240,2309,"2020-07-31 18:00:00.000 +0000",ISOL-BULIL,GRANIT GAMING,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Bind,10,3,0,0,2,0,13,2
1241,2310,"2020-07-31 18:00:00.000 +0000",Rix.GG,EXODIA5,Mandatory.gg Cup #2,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},1,0,Bind,1,12,0,0,0,0,13,0
1263,2332,"2020-08-01 21:15:00.000 +0000",Shiba,Mamba Mode Gaming,"30Bomb Summer Cup",1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},0,1,Split,5,2,0,6,7,0,7,13
1282,2381,"2020-08-05 23:00:00.000 +0000",FAKEZIN,Falkol eSports,GLL Orbital Strike Cup,3,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},0,2,Ascent,7,5,1,7,5,3,13,15
1282,2416,"2020-08-05 23:00:00.000 +0000",FAKEZIN,Falkol eSports,GLL Orbital Strike Cup,3,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},0,2,Bind,5,7,0,5,7,2,12,14
1291,2396,"2020-08-05 14:00:00.000 +0000",Team123,NVM,GLX Elite Series,1,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},1,0,Haven,10,3,0,5,2,0,13,7
1292,2397,"2020-08-05 14:00:00.000 +0000",flawless,Lankräm,GLX Elite Series,1,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},0,1,Haven,9,1,0,10,3,0,10,13
1293,2398,"2020-08-05 15:20:00.000 +0000",Team123,Lankräm,GLX Elite Series,1,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},0,1,Split,6,6,1,6,6,3,13,15
1294,2399,"2020-08-05 15:20:00.000 +0000",NVM,flawless,GLX Elite Series,1,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},0,1,Bind,6,3,0,9,4,0,9,13
1295,2400,"2020-08-05 16:30:00.000 +0000",Team123,flawless,GLX Elite Series,1,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},0,1,Bind,3,0,0,12,1,0,3,13
1296,2401,"2020-08-06 21:00:00.000 +0000",Gen.G,Built By Gamers,FaZe Clan Invitational,3,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},2,0,Ascent,9,4,0,4,3,0,13,7
1296,2402,"2020-08-06 21:00:00.000 +0000",Gen.G,Built By Gamers,FaZe Clan Invitational,3,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},2,0,Bind,9,4,0,5,3,0,13,8
1297,2404,"2020-08-06 21:00:00.000 +0000",Sentinels,Lemonade Stand,FaZe Clan Invitational,3,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},2,0,Ascent,4,9,0,3,0,0,13,3
1297,2405,"2020-08-06 21:00:00.000 +0000",Sentinels,Lemonade Stand,FaZe Clan Invitational,3,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},2,0,Split,9,4,0,2,3,0,13,5
1306,2415,"2020-08-03 13:00:00.000 +0000",Team123,Rix.GG,GLX Elite Series,1,"Patch 1.04								
									Viper buffs, Brimstone and Raze ult nerfs",{},{},{},0,1,Haven,5,2,0,10,3,0,7,13
1307,2418,"2020-08-06 21:15:00.000 +0000",TSM,Bloom,FaZe Clan Invitational,3,"Patch 1.05								
									Added Killjoy, Deathmatch mode, Raze nerfs",{},{},{},2,1,Haven,6,5,0,7,6,0,11,13
