"venue_event_id","game_id","round_no","team1_spend","team1_result","team1_side","team1_label","team2_spend","team2_result","team2_side","team2_label"
8638,16032,1,3900,lost,t,"",3900,won,ct,""
8638,16032,2,1900,lost,t,"",15300,won,ct,$$
8638,16032,3,22000,won,t,$$$,15600,lost,ct,$$
8638,16032,4,18000,won,t,$$,22000,lost,ct,$$$
8638,16032,5,21700,won,t,$$$,19300,lost,ct,$$
8638,16032,6,22400,won,t,$$$,7200,lost,ct,$
8638,16032,7,22400,lost,t,$$$,24400,won,ct,$$$
8638,16032,8,22400,lost,t,$$$,22800,won,ct,$$$
8638,16032,9,22400,lost,t,$$$,24300,won,ct,$$$
8638,16032,10,22300,won,t,$$$,24600,lost,ct,$$$
8638,16032,11,20300,won,t,$$$,22400,lost,ct,$$$
8638,16032,12,23200,won,t,$$$,19500,lost,ct,$$
8638,16032,13,3600,won,ct,"",4000,lost,t,""
8638,16032,14,13300,won,ct,$$,2900,lost,t,""
8638,16032,15,15200,lost,ct,$$,21400,won,t,$$$
8638,16032,16,20600,won,ct,$$$,17200,lost,t,$$
8638,16032,17,22300,won,ct,$$$,5300,lost,t,$
8638,16032,18,23700,lost,ct,$$$,22100,won,t,$$$
8638,16032,19,22000,lost,ct,$$$,19200,won,t,$$
8638,16032,20,22200,won,ct,$$$,21600,lost,t,$$$
8638,16032,21,20600,won,ct,$$$,20100,lost,t,$$$
8638,16033,1,3600,lost,ct,"",4000,won,t,""
8638,16033,2,1000,lost,ct,"",12500,won,t,$$
8638,16033,3,21600,lost,ct,$$$,20700,won,t,$$$
8638,16033,4,8200,lost,ct,$,22300,won,t,$$$
8638,16033,5,21500,lost,ct,$$$,22100,won,t,$$$
8638,16033,6,10000,won,ct,$$,22300,lost,t,$$$
8638,16033,7,21400,lost,ct,$$$,24400,won,t,$$$
8638,16033,8,5600,lost,ct,$,22300,won,t,$$$
8638,16033,9,21500,won,ct,$$$,22300,lost,t,$$$
8638,16033,10,21500,lost,ct,$$$,22300,won,t,$$$
8638,16033,11,19300,won,ct,$$,22300,lost,t,$$$
8638,16033,12,20500,won,ct,$$$,21100,lost,t,$$$
8638,16033,13,3700,lost,t,"",3700,won,ct,""
8638,16033,14,1200,lost,t,"",14100,won,ct,$$
8638,16033,15,21900,won,t,$$$,19700,lost,ct,$$
8638,16033,16,17500,lost,t,$$,18400,won,ct,$$
8638,16033,17,17000,lost,t,$$,22100,won,ct,$$$
8638,16033,18,15100,lost,t,$$,21400,won,ct,$$$
8638,16034,1,3800,lost,ct,"",3900,won,t,""
8638,16034,2,1200,lost,ct,"",11800,won,t,$$
8638,16034,3,21900,won,ct,$$$,19300,lost,t,$$
8638,16034,4,19200,lost,ct,$$,20000,won,t,$$$
8638,16034,5,6800,lost,ct,$,22300,won,t,$$$
8638,16034,6,20800,lost,ct,$$$,23500,won,t,$$$
8638,16034,7,10100,won,ct,$$,22200,lost,t,$$$
8638,16034,8,22700,lost,ct,$$$,20200,won,t,$$$
8638,16034,9,19500,won,ct,$$,22200,lost,t,$$$
8638,16034,10,22500,won,ct,$$$,17800,lost,t,$$
8638,16034,11,22100,won,ct,$$$,8300,lost,t,$
8638,16034,12,25400,won,ct,$$$,23000,lost,t,$$$
8638,16034,13,4000,lost,t,"",3800,won,ct,""
8638,16034,14,1500,lost,t,"",14500,won,ct,$$
8638,16034,15,22300,won,t,$$$,17800,lost,ct,$$
8638,16034,16,19000,won,t,$$,21400,lost,ct,$$$
8638,16034,17,22700,won,t,$$$,13300,lost,ct,$$
8638,16034,18,23500,won,t,$$$,22400,lost,ct,$$$
8638,16034,19,23500,lost,t,$$$,19200,won,ct,$$
8638,16034,20,22700,lost,t,$$$,21100,won,ct,$$$
8638,16034,21,22700,won,t,$$$,22300,lost,ct,$$$
8638,16034,22,22700,won,t,$$$,6200,lost,ct,$
8638,16034,23,23100,lost,t,$$$,21300,won,ct,$$$
8638,16034,24,22700,won,t,$$$,22200,lost,ct,$$$
11811,22580,1,3500,lost,ct,"",3800,won,t,""
11811,22580,2,1200,lost,ct,"",17300,won,t,$$
11811,22580,3,20600,lost,ct,$$$,20200,won,t,$$$
11811,22580,4,6400,lost,ct,$,23100,won,t,$$$
11811,22580,5,23000,won,ct,$$$,23600,lost,t,$$$
11811,22580,6,20700,won,ct,$$$,22600,lost,t,$$$
11811,22580,7,23100,won,ct,$$$,21400,lost,t,$$$
